name,description,accords.cítrico,accords.aromático,accords.fresco especiado,accords.amaderado,accords.lavanda,accords.fresco,calificationNumbers.ratingValue,calificationNumbers.bestRating,calificationNumbers.ratingCount,piramidFragrance.salida,piramidFragrance.corazon,piramidFragrance.base,piramidFragrance.ingredientes,accords.terrosos,accords.Floral amarillo,accords.dulce,accords.cálido especiado,accords.ozónico,accords.verde,accords.floral blanco,accords.almizclado,accords.atalcado,accords.nardos,accords.iris,accords.florales,accords.violeta,accords.rosas,accords.herbal,accords.especiado suave,accords.cuero,accords.ámbar,accords.afrutados,accords.pachulí,accords.avainillado,accords.almendrado,accords.anís,accords.nueces,accords.marino,accords.animálico,accords.salado,accords.balsámico,accords.acuático,accords.amielado,accords.oud,accords.ahumado,accords.cacao,accords.café,accords.metálico,accords.tabaco,accords.canela,accords.acerezado,accords.chocolate,accords.musgoso,accords.tropical,accords.lactónico,accords.alcanforados,accords.Whisky,accords.ron,accords.coco,accords.caramelo,accords.aldehídico,accords.jabonoso,accords.conífera,accords.mineral,accords.cera de abeja,accords.amargo,accords.champán,accords.alcohol,accords.vodka,accords.cannabis,accords.arena,accords.Vino,accords.coca-cola,accords.pegamento industrial,accords.cinta scotch,accords.arcilla,accords.asfalto,accords.vinyl,accords.Pear,accords.terpénico,accords.pelota de tenis,PerfumeURL,calificationText.MeEncanta,calificationText.MeGusta,calificationText.MeEsIndiferente,calificationText.NoMeGusta,calificationText.LaOdio,timeSeasons.Invierno,timeSeasons.Primavera,timeSeasons.Verano,timeSeasons.Otoño,timeDay.Dia,timeDay.Noche,longevity.escasa,longevity.débil,longevity.moderada,longevity.duradera,longevity.muy_duradera,sillage.suave,sillage.moderada,sillage.pesada,sillage.enorme,gender.femenino,gender.unisex_femenino,gender.unisex,gender.unisex_masculino,gender.masculino,price.extremadamente_costoso,price.ligeramente_costoso,price.precio_moderado,price.buen_precio,price.excelente_precio
Guidance Amouage para Hombres y Mujeres,"Guidance de Amouage es una fragancia de la familia olfativa Floral Frutal para Hombres y Mujeres. Esta fragrancia es nueva. Guidance se lanzó en 2023. La Nariz detrás de esta fragrancia es Quentin Bisch. Las Notas de Salida son pera, avellana y incienso de olíbano (franquincienso); las Notas de Corazón son osmanto (olivo oloroso), rosa, azafrán y jazmín sambac (sampaguita); las Notas de Fondo son sándalo, vainilla, Akigalawood, ámbar gris y ládano.",,,,100,,,3.88,5,3886,"['pera', 'avellana', 'incienso de olíbano (franquincienso)']","['osmanto (olivo oloroso)', 'rosa', 'azafrán', 'jazmín sambac (sampaguita)']","['sándalo', 'vainilla', 'Akigalawood', 'ámbar gris', 'ládano']",,,,55.86277958,65.17389425,,,,,53.92071867,,,49.68010328,,,,,,69.3850782,65.9142402,,52.6916449,,,55.79562614,,,,48.93436847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Guidance-78656.html,100,44.7455,25.2463,27.381,16.6256,91.4395,81.7884,47.8735,100,81.5703,79.771,41,56,373,988,1704,108,601,1302,1033,1762,762,445,15,16,929,931,720,126,83
Lineage Amouage para Hombres y Mujeres,"Lineage de Amouage es una fragancia de la familia olfativa Oriental Especiada para Hombres y Mujeres. Esta fragrancia es nueva. Lineage se lanzó en 2023. La Nariz detrás de esta fragrancia es Karine Vinchon Spehner. Las Notas de Salida son jengibre, pimienta de Sichuan, Pimienta peruana y azafrán; las Notas de Corazón son incienso de olíbano (franquincienso), mirra y alholva (fenogreco); las Notas de Fondo son incienso de olíbano (franquincienso), mirra, ládano, vetiver, benjuí y pachulí.",44.98990975,46.06238506,75.16956547,51.79812335,,,3.64,5,827,"['jengibre', 'pimienta de Sichuan', 'Pimienta peruana', 'azafrán']","['incienso de olíbano (franquincienso)', 'mirra', 'alholva (fenogreco)']","['incienso de olíbano (franquincienso)', 'mirra', 'ládano', 'vetiver', 'benjuí', 'pachulí']",,,,,84.9314713,,,,,,,,,,,,,,100,,,,,,,,,,48.57693874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Lineage-78654.html,97.8328,100,61.6099,47.9876,17.0279,36.5559,95.4683,88.5196,76.7372,100,44.1088,8,21,143,231,56,35,251,152,17,50,62,375,32,22,123,161,130,19,14
Purpose Amouage para Hombres y Mujeres,"Purpose de Amouage es una fragancia de la familia olfativa Oriental Amaderada para Hombres y Mujeres. Esta fragrancia es nueva. Purpose se lanzó en 2023. La Nariz detrás de esta fragrancia es Quentin Bisch. Las Notas de Salida son incienso de olíbano (franquincienso), pimienta negra y pimienta rosa, pimiento morrón y bergamota; las Notas de Corazón son vetiver, papiro de Egipto, sándalo y rosa; las Notas de Fondo son Akigalawood, azafrán, Místico y gamuza.",44.28878,58.61439966,72.69322937,100,,,3.79,5,814,"['incienso de olíbano (franquincienso)', 'pimienta negra y pimienta rosa', 'pimiento morrón', 'bergamota']","['vetiver', 'papiro de Egipto', 'sándalo', 'rosa']","['Akigalawood', 'azafrán', 'Místico', 'gamuza']",,45.74484066,,,86.67370078,,,,,,,,,,,,,49.22422118,57.39296827,,,,,,,,,,,,,50.54472621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Purpose-78657.html,100,48.4127,32.3413,20.2381,20.0397,94.6467,72.1627,38.9722,100,72.591,85.2248,3,21,94,345,230,18,181,374,117,15,3,157,249,286,168,191,215,47,22
Search Amouage para Hombres y Mujeres,"Search de Amouage es una fragancia de la familia olfativa Cítrica Aromática para Hombres y Mujeres. Esta fragrancia es nueva. Search se lanzó en 2023. La Nariz detrás de esta fragrancia es Alexis Grugeon. Las Notas de Salida son lima (limón verde), limón (lima ácida) y mandarina; las Notas de Corazón son incienso de olíbano (franquincienso), elemí y pimienta negra; las Notas de Fondo son vetiver, Petróleo de Cade y madera de gaiac.",100,96.68624613,80.93981428,83.65789112,,,3.87,5,887,"['lima (limón verde)', 'limón (lima ácida)', 'mandarina']","['incienso de olíbano (franquincienso)', 'elemí', 'pimienta negra']","['vetiver', 'Petróleo de Cade', 'madera de gaiac']",,,,,,,,,,,,,,,,,,,52.38503227,,,,,,,,,,44.58983488,,,,,,,,,,,,,,,,,,,,,,46.3310162,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Search-78655.html,100,63.5628,33.4008,20.6478,13.7652,30.4636,97.351,97.5717,77.2627,100,54.7461,23,31,170,319,64,51,309,212,31,8,6,167,245,227,192,181,164,30,9
Blossom Love Amouage para Mujeres,"Blossom Love de Amouage es una fragancia de la familia olfativa Floral para Mujeres. Blossom Love se lanzó en 2017. Blossom Love fue creada por Nathalie Lorson y Elise Benat. Las Notas de Salida son heliotropo y bergamota; las Notas de Corazón son amaretto, flor del cerezo, ylang-ylang y rosa; las Notas de Fondo son vainilla, haba tonka, gamuza y ámbar.",,,,,,50.7521007,3.64,5,2793,"['heliotropo', 'bergamota']","['amaretto', 'flor del cerezo', 'ylang-ylang', 'rosa']","['vainilla', 'haba tonka', 'gamuza', 'ámbar']",,,49.47426433,55.60292567,,,,,,75.65728865,,,90.2959687,,48.96322504,,,,59.44167375,78.43538017,,100,87.83507399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Blossom-Love-43476.html,96.3119,100,36.0379,71.4436,11.5911,53.4146,100,43.9024,63.5366,92.439,42.9268,48,71,239,487,375,127,459,561,374,736,92,38,2,6,216,279,230,42,21
Lilac Love Amouage para Mujeres,"Lilac Love de Amouage es una fragancia de la familia olfativa para Mujeres. Lilac Love se lanzó en 2016. Lilac Love fue creada por Nathalie Lorson y Elise Benat. Las Notas de Salida son heliotropo, lila, gardenia, jazmín, peonía y rosa; las Notas de Corazón son cacao, haba tonka y raíz de lirio; las Notas de Fondo son vainilla, sándalo y pachulí.",,,,49.02746714,,56.15326,3.95,5,3327,"['heliotropo', 'lila', 'gardenia', 'jazmín', 'peonía', 'rosa']","['cacao', 'haba tonka', 'raíz de lirio']","['vainilla', 'sándalo', 'pachulí']",,,,56.11226743,67.66822123,,,59.86481624,,83.64050715,,,90.74605067,,,,,,,,,100,48.8837462,,,,,,,,,,,70.5727671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Lilac-Love-35624.html,100,93.6904,25.6787,38.3712,4.84226,66.2813,100,39.0173,78.42,94.9904,49.5183,51,102,468,493,197,212,638,467,245,705,170,66,8,6,231,318,223,23,16
Love Delight Amouage para Mujeres,"Love Delight de Amouage es una fragancia de la familia olfativa Floral Frutal Gourmand para Mujeres. Esta fragrancia es nueva. Love Delight se lanzó en 2024. La Nariz detrás de esta fragrancia es Pascal Gaurin. Las Notas de Salida son jengibre, mandarina, canela y agua de rosas; las Notas de Corazón son heliotropo, jazmín y rosa; las Notas de Fondo son vainilla, cacao, ron y cipriol (nagarmota).",69.22480411,,,,,,3.9,5,749,"['jengibre', 'mandarina', 'canela', 'agua de rosas']","['heliotropo', 'jazmín', 'rosa']","['vainilla', 'cacao', 'ron', 'cipriol (nagarmota)']",,,,,100,,,63.50393118,,75.99928646,,,54.08458763,,,,,,,,,99.62068176,51.28234471,,,,,,,,,,,57.1822747,,,,50.22873529,,,,,,,,49.55444412,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Love-Delight-89959.html,100,75.1592,36.7304,25.0531,9.97877,68.1698,98.6737,73.4748,97.878,100,50.6631,32,21,181,214,66,67,258,160,34,358,124,43,5,39,227,145,106,17,11
Love Tuberose Amouage para Mujeres,"Love Tuberose de Amouage es una fragancia de la familia olfativa Floral Frutal Gourmand para Mujeres. Love Tuberose se lanzó en 2018. La Nariz detrás de esta fragrancia es Nathalie Lorson. Las Notas de Salida son nardos, gardenia y jazmín; las Notas de Corazón son crema batida y vainilla; las Notas de Fondo son sándalo y cedro.",,,,,,,4.16,5,2581,"['nardos', 'gardenia', 'jazmín']","['crema batida', 'vainilla']","['sándalo', 'cedro']",,,,67.58681915,,,,100,,,70.76437645,,,,,,,,,,,83.19608271,,,,,47.70687066,,,,,,,,,,,,,,,,58.20598717,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Love-Tuberose-50889.html,100,68.0088,21.0102,18.082,2.92826,54.0154,100,57.9758,76.3476,98.2398,47.7448,43,69,353,495,187,98,570,416,221,839,97,39,7,4,230,352,250,29,21
Beach Hut Woman Amouage para Mujeres,Beach Hut Woman de Amouage es una fragancia de la familia olfativa Amaderada Acuática para Mujeres. Beach Hut Woman se lanzó en 2018. Las Notas de Salida son Notas minerales y bergamota; las Notas de Corazón son trozos de madera a la deriva y ylang-ylang; las Notas de Fondo son pachulí y cachemira.,45.91330034,,,100,,,3.67,5,1186,"['Notas minerales', 'bergamota']","['trozos de madera a la deriva', 'ylang-ylang']","['pachulí', 'cachemira']",,,,,,,,,,,,,,,,,,,,,50.26158923,,,,,53.3610091,,,,,,,,,,,,,,,,,,,,,,,,,,67.19277237,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Beach-Hut-Woman-46937.html,90.9091,100,30.5361,64.5688,8.85781,15.6322,60.6897,100,47.5862,90.3448,26.6667,20,29,160,213,92,74,278,195,108,33,34,338,65,29,63,118,166,25,20
Beloved Man Amouage para Hombres,"Beloved Man de Amouage es una fragancia de la familia olfativa Oriental Amaderada para Hombres. Beloved Man se lanzó en 2013. Beloved Man fue creada por Alexandra Carlin y Emilie Bevierre-Coppermann. Las Notas de Salida son elemí, toronja (pomelo), cardamomo, naranja y pimienta; las Notas de Corazón son azafrán, raíz de lirio, geranio y jazmín; las Notas de Fondo son cedro, cuero, vetiver, almizcle, madera de gaiac y pachulí.",73.87742245,100,75.23720772,83.88608517,,,4.11,5,1052,"['elemí', 'toronja (pomelo)', 'cardamomo', 'naranja', 'pimienta']","['azafrán', 'raíz de lirio', 'geranio', 'jazmín']","['cedro', 'cuero', 'vetiver', 'almizcle', 'madera de gaiac', 'pachulí']",,49.89329098,,,79.83153626,,,,,50.910833,,,,,,,,53.98413146,,,,,,,,,,,53.02860668,,,,,,,,,,,,,,,,,,,,,,46.0307658,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Beloved-Man-17726.html,100,87.8981,14.862,25.9023,2.33546,41.4062,100,66.9271,90.8854,97.1354,55.7292,30,35,141,265,84,92,292,227,114,10,0,50,96,124,43,87,83,15,11
Beloved Woman Amouage para Mujeres,"Beloved Woman de Amouage es una fragancia de la familia olfativa Floral para Mujeres. Beloved Woman se lanzó en 2012. La Nariz detrás de esta fragrancia es Bernard Ellena. Las Notas de Salida son manzanilla, rosa, esclarea, lavanda, clavos de olor, cardamomo y jazmín; las Notas de Corazón son siempreviva, pachulí, benjuí, ylang-ylang, ládano, incienso de olíbano (franquincienso) y violeta; las Notas de Fondo son algalia (civet), castóreo, cuero, ámbar gris, almizcle, sándalo, cedro y vainilla.",,74.59034183,,84.95367858,,,3.94,5,1627,"['manzanilla', 'rosa', 'esclarea', 'lavanda', 'clavos de olor', 'cardamomo', 'jazmín']","['siempreviva', 'pachulí', 'benjuí', 'ylang-ylang', 'ládano', 'incienso de olíbano (franquincienso)', 'violeta']","['algalia (civet)', 'castóreo', 'cuero', 'ámbar gris', 'almizcle', 'sándalo', 'cedro', 'vainilla']",,,,63.73676172,100,,,,83.8184522,64.89730914,,,,,,87.17630273,,79.34717952,93.21888628,,,,,,,,80.5084303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Beloved-Woman-15184.html,100,99.3651,13.6508,45.5556,3.96825,67.3367,59.799,46.4824,100,86.1809,63.3166,23,30,118,248,121,76,253,231,165,130,76,83,2,2,65,58,105,11,6
Bracken Man Amouage para Hombres,"Bracken Man de Amouage es una fragancia de la familia olfativa Aromática Fougère para Hombres. Bracken Man se lanzó en 2016. La Nariz detrás de esta fragrancia es Olivier Cresp. Las Notas de Salida son clavos de olor, ciprés, lavanda, nuez moscada, limón (lima ácida) y bergamota; las Notas de Corazón son geranio, cedro, canela y sándalo; las Notas de Fondo son pachulí y almizcle.",47.53652211,83.43374148,91.07213945,99.47306834,54.53694433,,4.14,5,1399,"['clavos de olor', 'ciprés', 'lavanda', 'nuez moscada', 'limón (lima ácida)', 'bergamota']","['geranio', 'cedro', 'canela', 'sándalo']","['pachulí', 'almizcle']",,,,,100,,,,,45.33928464,,,,,,,,,,,59.31986248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Bracken-Man-40206.html,100,62.1212,14.3251,22.4518,2.89256,44.6154,100,69.9145,94.359,99.6581,47.5214,34,29,151,460,164,70,345,376,165,5,0,57,129,363,54,136,249,37,18
Bracken Woman Amouage para Mujeres,"Bracken Woman de Amouage es una fragancia de la familia olfativa para Mujeres. Bracken Woman se lanzó en 2016. Bracken Woman fue creada por Karine Vinchon Spehner y Dorothée Piot. Las Notas de Salida son helecho y bayas silvestres; las Notas de Corazón son manzanilla, cuero, narciso y azucena; las Notas de Fondo son abedul, vetiver y pachulí.",,100,64.50305929,81.300305,,,3.79,5,1813,"['helecho', 'bayas silvestres']","['manzanilla', 'cuero', 'narciso', 'azucena']","['abedul', 'vetiver', 'pachulí']",,60.91599181,47.3238513,,,,49.79881093,,,,,,,,,61.6530664,,74.69218444,,56.1700456,,,,,,,,,,,,,53.87307519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Bracken-Woman-41454.html,100,87.358,16.6193,57.2443,7.38636,24.7563,94.347,90.0585,66.6667,100,28.8499,25,26,148,347,219,66,264,391,258,110,115,336,21,8,75,138,227,28,21
Ciel Pour Femme Amouage para Mujeres,"Ciel Pour Femme de Amouage es una fragancia de la familia olfativa Floral para Mujeres. Ciel Pour Femme se lanzó en 2003. La Nariz detrás de esta fragrancia es Lucas Sieuzac. Las Notas de Salida son ciclamen (violeta persa), gardenia y hojas de violeta; las Notas de Corazón son nenúfar (lirio de agua), jazmín, flor del duraznero (flor del melocotonero) y rosa; las Notas de Fondo son almizcle, sándalo, incienso, cedro y ámbar.",,,,50.86048685,,63.38199774,3.93,5,2636,"['ciclamen (violeta persa)', 'gardenia', 'hojas de violeta']","['nenúfar (lirio de agua)', 'jazmín', 'flor del duraznero (flor del melocotonero)', 'rosa']","['almizcle', 'sándalo', 'incienso', 'cedro', 'ámbar']",,,,,,47.06256926,,75.6897529,51.06423396,51.43562562,,,100,,,,,,,,,,,,,,,,,67.81868039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Ciel-Pour-Femme-5466.html,67.5719,100,13.0192,32.6677,1.51757,18.5644,94.5545,76.2376,26.1139,100,17.203,90,105,304,239,108,232,437,260,190,290,45,23,2,4,114,96,82,11,6
Ciel Pour Homme Amouage para Hombres,"Ciel Pour Homme de Amouage es una fragancia de la familia olfativa Aromática Especiada para Hombres. Ciel Pour Homme se lanzó en 2003. Las Notas de Salida son lavanda, bergamota, lirio de los valles (muguete) y rosa; las Notas de Corazón son durazno (melocotón), nuez moscada, jazmín, canela y cardamomo; las Notas de Fondo son sándalo, vetiver, pachulí, incienso y cedro.",61.31281887,89.88806005,97.78458869,100,92.17476589,,4.01,5,590,"['lavanda', 'bergamota', 'lirio de los valles (muguete)', 'rosa']","['durazno (melocotón)', 'nuez moscada', 'jazmín', 'canela', 'cardamomo']","['sándalo', 'vetiver', 'pachulí', 'incienso', 'cedro']",,,,,85.52853196,,,82.88403323,,61.9089203,,,61.78415489,,,,,,,59.51527268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Ciel-Pour-Homme-5467.html,93.9024,100,9.34959,38.2114,2.03252,11.8557,86.5979,90.7216,29.8969,100,31.9588,22,19,99,71,42,41,144,69,71,3,1,19,30,15,14,22,19,0,4
Fate Man Amouage para Hombres,"Fate Man de Amouage es una fragancia de la familia olfativa Oriental Especiada para Hombres. Fate Man se lanzó en 2013. La Nariz detrás de esta fragrancia es Karine Vinchon Spehner. Las Notas de Salida son comino, azafrán, ajenjo (absenta), jengibre y mandarina; las Notas de Corazón son siempreviva, incienso, bálsamo de copaiba, incienso de olíbano (franquincienso), ládano y rosa; las Notas de Fondo son regaliz, ládano, sándalo, cedro, almizcle y haba tonka.",,45.40730656,79.46539596,59.53120036,,,3.88,5,1317,"['comino', 'azafrán', 'ajenjo (absenta)', 'jengibre', 'mandarina']","['siempreviva', 'incienso', 'bálsamo de copaiba', 'incienso de olíbano (franquincienso)', 'ládano', 'rosa']","['regaliz', 'ládano', 'sándalo', 'cedro', 'almizcle', 'haba tonka']",,,,61.52893125,92.23326526,,,,,,,,,,,56.47742228,46.04583617,,100,,,,,,,,,,64.58543227,,,,53.62014976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Fate-Man-18543.html,100,75.0439,13.884,45.6942,6.85413,97.0115,43.2184,23.2184,100,67.1264,90.1149,22,19,112,252,268,53,242,373,145,1,1,86,105,160,56,81,147,21,16
Fate Woman Amouage para Mujeres,"Fate Woman de Amouage es una fragancia de la familia olfativa Chipre Floral para Mujeres. Fate Woman se lanzó en 2013. La Nariz detrás de esta fragrancia es Dorothée Piot. Las Notas de Salida son canela, pimienta, chile rojo (ají rojo) y bergamota; las Notas de Corazón son incienso, narciso, ládano, rosa y jazmín; las Notas de Fondo son incienso, benjuí, vainilla, castóreo, cuero, musgo de roble y pachulí.",,,50.98033122,55.84780003,,,4.03,5,2265,"['canela', 'pimienta', 'chile rojo (ají rojo)', 'bergamota']","['incienso', 'narciso', 'ládano', 'rosa', 'jazmín']","['incienso', 'benjuí', 'vainilla', 'castóreo', 'cuero', 'musgo de roble', 'pachulí']",,,,,100,,,,,,,,,,,,,57.71167251,93.51107757,,,54.28850508,,,,,,,60.1980198,,,,67.82045021,,,,,55.94281401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Fate-Woman-18542.html,100,96.1497,9.62567,38.2888,2.35294,81.0526,28.9474,27.3684,100,72.2807,78.5965,38,42,136,317,188,98,323,358,261,112,85,137,2,1,49,82,118,19,8
Figment Man Amouage para Hombres,"Figment Man de Amouage es una fragancia de la familia olfativa Oriental Amaderada para Hombres. Figment Man se lanzó en 2017. La Nariz detrás de esta fragrancia es Annick Menardo. Las Notas de Salida son geranio, limón (lima ácida) y pimienta rosa; las Notas de Corazón son Notas de animal, vetiver y sándalo; las Notas de Fondo son Notas terrosas, ládano y madera de gaiac.",51.13538504,72.78511831,54.88939953,79.63977568,,,3.63,5,1277,"['geranio', 'limón (lima ácida)', 'pimienta rosa']","['Notas de animal', 'vetiver', 'sándalo']","['Notas terrosas', 'ládano', 'madera de gaiac']",,100,,,,,,,63.87383395,,,,,,,,,,47.05545069,,,,,,,,75.04549309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Figment-Man-45292.html,100,55.3271,17.0093,64.1121,15.514,83.3333,79.0541,41.6667,100,82.6577,81.0811,24,27,101,304,249,60,191,367,230,7,2,139,127,206,42,87,199,64,41
Figment Woman Amouage para Mujeres,"Figment Woman de Amouage es una fragancia de la familia olfativa Chipre Floral para Mujeres. Figment Woman se lanzó en 2017. Figment Woman fue creada por Karine Vinchon Spehner y Dorothée Piot. Las Notas de Salida son gardenia, pimienta de Sichuan y azafrán; las Notas de Corazón son azucena, nardos, jazmín, ylang-ylang, canela china y flor de azahar del naranjo; las Notas de Fondo son papiro de Egipto, raíz de lirio, pachulí y incienso.",,,44.46288867,50.96948132,,,3.64,5,1440,"['gardenia', 'pimienta de Sichuan', 'azafrán']","['azucena', 'nardos', 'jazmín', 'ylang-ylang', 'canela china', 'flor de azahar del naranjo']","['papiro de Egipto', 'raíz de lirio', 'pachulí', 'incienso']",,,,,50.49542277,,,100,,,47.59336915,,,,,,,,,,,,,,,,44.85621698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Figment-Woman-45291.html,96.5932,100,22.0441,70.7415,13.0261,32.2835,92.9134,90.2887,73.7533,100,48.5564,27,29,130,282,169,64,244,308,205,218,112,132,1,3,65,126,167,30,16
Homage Amouage para Hombres y Mujeres,"Homage de Amouage es una fragancia de la familia olfativa Oriental Floral para Hombres y Mujeres. Homage se lanzó en 2008. Las Notas de Salida son rosa de Taif y incienso; las Notas de Corazón son madera de oud, jazmín y ámbar; las Notas de Fondo son limón (lima ácida), sándalo y naranja.",82.21636384,,,54.89716865,,,4.55,5,286,"['rosa de Taif', 'incienso']","['madera de oud', 'jazmín', 'ámbar']","['limón (lima ácida)', 'sándalo', 'naranja']",,,,,51.94610411,,,45.89181808,,57.16742838,,,,,100,,,,75.85932449,,,,,,,,,,50.96215584,,,57.62155835,56.63800022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Homage-3621.html,100,42.9319,3.66492,6.28272,0,57.6271,71.1864,64.4068,83.0508,100,74.5763,4,9,14,31,56,14,47,40,40,2,1,16,2,1,12,4,2,2,1
Love Mimosa Amouage para Mujeres,"Love Mimosa de Amouage es una fragancia de la familia olfativa Oriental Floral para Mujeres. Love Mimosa se lanzó en 2019. La Nariz detrás de esta fragrancia es Elise Benat. Las Notas de Salida son Cascalone, hojas de violeta y raíz de lirio; las Notas de Corazón son mimosa, pera y Paradisona; las Notas de Fondo son heliotropo, ambroxan y ylang-ylang.",,,,,,58.05842033,3.65,5,1422,"['Cascalone', 'hojas de violeta', 'raíz de lirio']","['mimosa', 'pera', 'Paradisona']","['heliotropo', 'ambroxan', 'ylang-ylang']",,,100,70.47519027,,56.57634761,50.1388393,,,92.08581011,,,63.41427041,,,,,,51.52730226,59.30622361,,,,,,,,,,96.06888053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Love-Mimosa-56023.html,74.8264,100,47.5694,45.4861,8.85417,13.8973,100,63.5952,25.0755,82.0242,15.2568,33,41,262,254,96,98,343,255,116,461,103,48,1,1,148,162,169,27,9
Silver Man Amouage para Hombres,"Silver Man de Amouage es una fragancia de la familia olfativa Almizcle Amaderado Floral para Hombres. Silver Man se lanzó en 2002. Las Notas de Salida son flor de azahar del naranjo, ciruela, bergamota y mandarina; las Notas de Corazón son jazmín, orquídea, ylang-ylang, rosa y heliotropo; las Notas de Fondo son almizcle, incienso, vetiver, sándalo, pachulí y ámbar.",89.56401412,,,89.43626665,,,4,5,703,"['flor de azahar del naranjo', 'ciruela', 'bergamota', 'mandarina']","['jazmín', 'orquídea', 'ylang-ylang', 'rosa', 'heliotropo']","['almizcle', 'incienso', 'vetiver', 'sándalo', 'pachulí', 'ámbar']",,,57.09088721,91.72729825,,,,100,70.54578453,90.41823761,,,75.09977138,,,,,,67.74516685,71.16346462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Silver-Man-1111.html,92.053,100,15.894,33.7748,2.64901,31.5217,94.2029,87.6812,63.4058,100,43.1159,20,25,102,140,85,44,172,160,76,2,5,64,48,59,20,29,72,12,8
Sunshine Man Amouage para Hombres,"Sunshine Man de Amouage es una fragancia de la familia olfativa Aromática para Hombres. Sunshine Man se lanzó en 2015. Sunshine Man fue creada por Fabrice Pellegrin y Pierre Negrin. Las Notas de Salida son lavanda, brandi, siempreviva y naranja; las Notas de Corazón son bayas de enebro, esclarea y bergamota; las Notas de Fondo son haba tonka, vainilla y cedro.",64.58478289,100,67.90753868,72.36335318,72.95382757,,3.98,5,1999,"['lavanda', 'brandi', 'siempreviva', 'naranja']","['bayas de enebro', 'esclarea', 'bergamota']","['haba tonka', 'vainilla', 'cedro']",,,,86.52913434,68.7690505,,,,,,,,,,,70.886403,,,47.26182332,,,88.99088779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Amouage/Sunshine-Man-31619.html,100,65.6873,12.5918,35.4669,5.87618,39.2182,97.8562,80.3279,86.7591,100,44.0101,30,40,155,552,323,78,411,584,215,15,11,281,250,175,81,175,278,48,16
